"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\App.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\App.js", "JavaScript", 168, 0, 0, 0, 11, 179
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\app\store.js", "JavaScript", 19, 0, 0, 0, 1, 20
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\AdminProductForm.jsx", "JavaScript JSX", 0, 238, 0, 0, 6, 244
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Button1.jsx", "JavaScript JSX", 0, 12, 0, 0, 3, 15
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Button2.jsx", "JavaScript JSX", 0, 12, 0, 0, 3, 15
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\ButtonPrimary.jsx", "JavaScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Carousel.jsx", "JavaScript JSX", 0, 95, 0, 0, 11, 106
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Filters.jsx", "JavaScript JSX", 0, 151, 0, 19, 5, 175
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Heart.jsx", "JavaScript JSX", 0, 22, 0, 0, 2, 24
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Image.jsx", "JavaScript JSX", 0, 27, 0, 0, 3, 30
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\ProductImage.jsx", "JavaScript JSX", 0, 56, 0, 6, 5, 67
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\ProductImages.jsx", "JavaScript JSX", 0, 79, 0, 7, 14, 100
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Protected.jsx", "JavaScript JSX", 0, 13, 0, 0, 3, 16
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\ProtectedAdmin.jsx", "JavaScript JSX", 0, 13, 0, 0, 4, 17
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Rating.jsx", "JavaScript JSX", 0, 42, 0, 0, 4, 46
